Emp_ID,First_Mean,Last_Mean,First_stddev,Last_stddev,Last Blur,Result
MN00,220,164,53,65,4321,Captured
MN00,224,175,48,64,4114,Captured
MN00,222,181,52,65,4349,Captured
MN00,226,177,48,65,4251,Captured
