Emp_ID,PWM_Value,Mean,Blur,Texture,Status,Max High Texture,Min High Texture,Max low Texture,Min low Texture,texture_framecount,texture_iriscount,average_textureff,max_texture_iris_count,max_high_meanvalue,min_high_meanvalue,max_low_meanvalue,min_low_meanvalue,average_high_mean,average_low_mean,iris_mean,pupil_mean,mean ratio,Laplcian count,max_lap,min_lap
MN00,17,236,1085,217.861685,Not Captured,217.870132,217.861679,191.767731,191.266891,425,293,570,293,236,236,205,205,236,205,177.000000,129.000000,1.372093,14.924834,23.802717,14.351878
MN00,17,236,1102,217.870135,Not Captured,217.870132,217.861679,191.767731,191.266891,277,186,570,293,236,236,205,205,236,205,176.000000,130.000000,1.353846,14.351878,23.802717,14.351878
MN00,11,205,3551,191.550045,Not Captured,217.870132,217.861679,191.767731,191.266891,561,128,570,293,236,236,205,205,236,205,111.000000,79.000000,1.405063,23.047857,23.802717,14.351878
MN00,11,205,3559,191.393899,Not Captured,217.870132,217.861679,191.767731,191.266891,813,140,570,293,236,236,205,205,236,205,110.000000,77.000000,1.428571,23.802717,23.802717,14.351878
MN00,11,205,3545,191.516946,Not Captured,217.870132,217.861679,191.767731,191.266891,678,145,570,293,236,236,205,205,236,205,110.000000,78.000000,1.410256,23.407490,23.802717,14.351878
MN00,11,205,3543,191.266897,Not Captured,217.870132,217.861679,191.767731,191.266891,825,164,570,293,236,236,205,205,236,205,111.000000,77.000000,1.441558,23.801735,23.802717,14.351878
MN00,11,205,3544,191.409009,Not Captured,217.870132,217.861679,191.767731,191.266891,623,128,570,293,236,236,205,205,236,205,111.000000,79.000000,1.405063,23.043701,23.802717,14.351878
MN00,11,205,3537,191.767727,Not Captured,217.870132,217.861679,191.767731,191.266891,327,58,570,293,236,236,205,205,236,205,111.000000,78.000000,1.423077,21.746698,23.802717,14.351878
MN00,11,205,3541,191.728122,Not Captured,217.870132,217.861679,191.767731,191.266891,489,107,570,293,236,236,205,205,236,205,111.000000,79.000000,1.405063,22.376152,23.802717,14.351878
MN00,11,205,3543,191.474426,Not Captured,217.870132,217.861679,191.767731,191.266891,691,151,570,293,236,236,205,205,236,205,111.000000,79.000000,1.405063,23.312828,23.802717,14.351878

MN00,17,234,1287,216.548796,Not Captured,216.719009,216.031998,192.095856,190.568741,157,98,249,98,234,234,202,200,234,201,167.000000,120.000000,1.391667,14.063336,22.019670,14.013050
MN00,17,234,1257,216.719013,Not Captured,216.719009,216.031998,192.095856,190.568741,128,76,249,98,234,234,202,200,234,201,168.000000,124.000000,1.354839,14.013050,22.019670,14.013050
MN00,17,234,1277,216.031991,Not Captured,216.719009,216.031998,192.095856,190.568741,186,96,249,98,234,234,202,200,234,201,167.000000,126.000000,1.325397,14.298727,22.019670,14.013050
MN00,11,200,3933,190.568736,Not Captured,216.719009,216.031998,192.095856,190.568741,212,33,249,98,234,234,202,200,234,201,102.000000,72.000000,1.416667,21.163414,22.019670,14.013050
MN00,11,201,3920,190.835263,Not Captured,216.719009,216.031998,192.095856,190.568741,193,39,249,98,234,234,202,200,234,201,102.000000,72.000000,1.416667,20.982353,22.019670,14.013050
MN00,11,201,3916,190.691439,Not Captured,216.719009,216.031998,192.095856,190.568741,200,38,249,98,234,234,202,200,234,201,102.000000,72.000000,1.416667,21.199610,22.019670,14.013050
MN00,11,201,3912,191.255519,Not Captured,216.719009,216.031998,192.095856,190.568741,228,39,249,98,234,234,202,200,234,201,102.000000,71.000000,1.436620,21.133259,22.019670,14.013050
MN00,11,202,3892,191.741589,Not Captured,216.719009,216.031998,192.095856,190.568741,245,49,249,98,234,234,202,200,234,201,102.000000,71.000000,1.436620,21.084454,22.019670,14.013050
MN00,11,202,3886,191.694895,Not Captured,216.719009,216.031998,192.095856,190.568741,277,50,249,98,234,234,202,200,234,201,102.000000,71.000000,1.436620,21.239843,22.019670,14.013050
MN00,11,202,3888,191.694325,Not Captured,216.719009,216.031998,192.095856,190.568741,449,71,249,98,234,234,202,200,234,201,102.000000,72.000000,1.416667,22.019670,22.019670,14.013050
MN00,11,202,3887,192.095857,Not Captured,216.719009,216.031998,192.095856,190.568741,210,44,249,98,234,234,202,200,234,201,102.000000,72.000000,1.416667,20.815508,22.019670,14.013050
MN00,11,202,3911,191.867827,Not Captured,216.719009,216.031998,192.095856,190.568741,234,44,249,98,234,234,202,200,234,201,102.000000,71.000000,1.436620,20.872227,22.019670,14.013050
MN00,11,202,3878,191.754892,Not Captured,216.719009,216.031998,192.095856,190.568741,413,69,249,98,234,234,202,200,234,201,102.000000,71.000000,1.436620,21.885748,22.019670,14.013050
MN00,11,202,3898,191.702689,Not Captured,216.719009,216.031998,192.095856,190.568741,389,61,249,98,234,234,202,200,234,201,102.000000,72.000000,1.416667,21.748301,22.019670,14.013050
MN00,11,202,3895,192.032014,Not Captured,216.719009,216.031998,192.095856,190.568741,219,41,249,98,234,234,202,200,234,201,102.000000,72.000000,1.416667,20.840635,22.019670,14.013050

