Emp_ID,First_Mean,Last_Mean,First_stddev,Last_stddev,Last Blur,Result
MN00,196,108,66,46,2155,Captured
MN00,193,110,68,49,2407,Captured
MN00,197,116,67,50,2522,Captured
MN00,196,116,68,50,2600,Captured
MN00,193,112,69,50,2527,Captured
MN00,192,111,66,47,2268,Captured
Emp_ID,First_Mean,Last_Mean,First_stddev,Last_stddev,Last Blur,Result
MN00,239,196,28,60,3696,Captured
MN00,236,195,33,60,3653,Captured
