Emp_ID,PWM_Value,Mean,Blur,Texture,Status,Max High Texture,Min High Texture,Max low Texture,Min low Texture,texture_framecount,texture_iriscount,average_textureff,max_texture_iris_count,max_high_meanvalue,min_high_meanvalue,max_low_meanvalue,min_low_meanvalue,average_high_mean,average_low_mean,iris_mean,pupil_mean,mean ratio,Laplcian count,max_lap,min_lap,magnitude,average_mag
MN00,11,210,3625,201.807181,Not Captured,219.852951,219.599182,204.281738,201.710007,771,225,795,849,234,234,213,210,234,211,113.000000,75.000000,1.506667,0.000000,0.000000,0.000000,19.000000,17
MN00,11,211,3610,201.710002,Not Captured,219.852951,219.599182,204.281738,201.710007,1741,421,795,849,234,234,213,210,234,211,114.000000,77.000000,1.480520,0.000000,0.000000,0.000000,21.000000,17
MN00,11,211,3585,202.204768,Not Captured,219.852951,219.599182,204.281738,201.710007,915,211,795,849,234,234,213,210,234,211,114.000000,73.000000,1.561644,0.000000,0.000000,0.000000,19.000000,17
MN00,11,211,3554,202.411826,Not Captured,219.852951,219.599182,204.281738,201.710007,592,186,795,849,234,234,213,210,234,211,115.000000,77.000000,1.493507,0.000000,0.000000,0.000000,18.000000,17
MN00,11,212,3490,203.181412,Not Captured,219.852951,219.599182,204.281738,201.710007,284,58,795,849,234,234,213,210,234,211,116.000000,77.000000,1.506493,0.000000,0.000000,0.000000,16.000000,17
MN00,11,213,3434,203.643043,Not Captured,219.852951,219.599182,204.281738,201.710007,573,229,795,849,234,234,213,210,234,211,117.000000,77.000000,1.519480,0.000000,0.000000,0.000000,18.000000,17
MN00,11,213,3354,204.281735,Not Captured,219.852951,219.599182,204.281738,201.710007,335,109,795,849,234,234,213,210,234,211,119.000000,79.000000,1.506329,0.000000,0.000000,0.000000,17.000000,17

MN00,17,238,911,219.422637,Not Captured,219.422638,218.240128,196.880920,196.023804,1330,1118,2557,2010,238,236,210,207,237,209,192.000000,132.000000,1.454545,0.000000,0.000000,0.000000,15.000000,22
MN00,17,236,1112,218.240130,Not Captured,219.422638,218.240128,196.880920,196.023804,1610,1326,2557,2010,238,236,210,207,237,209,183.000000,119.000000,1.537815,0.000000,0.000000,0.000000,16.000000,22
MN00,11,207,3782,196.630956,Not Captured,219.422638,218.240128,196.880920,196.023804,1591,407,2557,2010,238,236,210,207,237,209,111.000000,72.000000,1.541667,0.000000,0.000000,0.000000,23.000000,22
MN00,11,208,3701,196.873096,Not Captured,219.422638,218.240128,196.880920,196.023804,1103,321,2557,2010,238,236,210,207,237,209,113.000000,75.000000,1.506667,0.000000,0.000000,0.000000,22.000000,22
MN00,11,209,3570,196.880914,Not Captured,219.422638,218.240128,196.880920,196.023804,1124,338,2557,2010,238,236,210,207,237,209,116.000000,74.000000,1.567568,0.000000,0.000000,0.000000,22.000000,22
MN00,11,209,3464,196.799789,Not Captured,219.422638,218.240128,196.880920,196.023804,1124,411,2557,2010,238,236,210,207,237,209,118.000000,79.000000,1.493671,0.000000,0.000000,0.000000,21.000000,22
MN00,11,210,3407,196.023796,Not Captured,219.422638,218.240128,196.880920,196.023804,4200,1357,2557,2010,238,236,210,207,237,209,119.000000,79.000000,1.506329,0.000000,0.000000,0.000000,27.000000,22
MN00,11,210,3391,196.077829,Not Captured,219.422638,218.240128,196.880920,196.023804,5654,2003,2557,2010,238,236,210,207,237,209,120.000000,78.000000,1.538462,0.000000,0.000000,0.000000,29.000000,22
MN00,11,210,3386,196.209080,Not Captured,219.422638,218.240128,196.880920,196.023804,5280,2010,2557,2010,238,236,210,207,237,209,120.000000,77.000000,1.558442,0.000000,0.000000,0.000000,29.000000,22

MN00,17,240,827,220.221593,Not Captured,220.221588,219.537201,199.075592,197.953323,4678,3906,2809,4515,240,238,212,208,239,210,198.000000,133.000000,1.488722,0.000000,0.000000,0.000000,19.000000,22
